AppName,Category,Approved,POavailable,POnumber,Quantity,POOrderDate,TermStartdate,TermEnddate,POdescription,UnitPrice,TotalAmount,Comments
Tableau,Licensed,YES,PO available,12114743,SaaS,10-Jan-23,31/08/22,30/08/24,Tableau - Annual Subscription,529760,529760,
IBM Informix Client,Licensed,YES,PO available,12149463,15,30-May-23,01/06/23,31/03/26,IBM Informix 4GL Compiler Licenses,9270.85,9270.85,
FileMaker Pro,Licensed,YES,PO available,12230792,150,07-Mar-24,27/03/24,26/03/26,FileMaker Software Subscription,231.96,34794,
Lectra,Licensed,YES,PO available,12109574,SaaS,20-Dec-22,01/01/23,31/12/24,Lectra Software Maintenance,418899.08,418899.08,
Informatica Client,Licensed,YES,PO available,12110294,SaaS,21-Dec-22,07/02/23,06/02/25,Informatica Powerexchange Cloud Applications,88560,88560,
RightFax Product Suite - Client,Licensed,NO,PO available,12246366,1,13-May-24,28/05/24,27/05/25,RightFax Support - Test and Production,7264.7,7264.7,
RightFax Print Processor,Licensed,NO,PO available,12246366,1,13-May-24,28/05/24,27/05/25,RightFax Support - Test and Production,7264.7,7264.7,
ApexSQL,Licensed,YES,PO available,12209779,1,30-Nov-23,01/12/23,30/11/24,APEXSQL Universal Suite,4981.7,4981.7,
DematicFramework,Licensed,NO,PO available,12233403,55990,19-Mar-24,11/03/24,10/03/25,Dematic Renewal,1,55990,
i2 Merchandise Planner,Licensed,YES,Vendor available,,,,,,,,,
JDA Allocation,Licensed,YES,PO available,12225339,SaaS,07-Feb-24,26/02/24,25/02/25,JDA Allocation Renewal,330589.4,330589.4,
ICONICS WebHMI Client,Licensed,NO,,,,,,,,,,
Datacolor,Licensed,YES,Vendor available,,,,,,,,,
MicroStrategy,Licensed,YES,PO available,12187338,SaaS,14-Sep-23,25/09/23,24/09/24,MicroStrategy Term License Subscription,571704,571704,
Kaledo,Licensed,YES,PO available,12109574,SaaS,20-Dec-22,01/01/23,31/12/24,Lectra Software Maintenance,418899.08,418899.08,
Autodesk Revit,Licensed,YES,PO available,12001806,1,24-Nov-21,21/01/22,21/01/25,Architecture Engineering & Construction (3 YR Renewal to contract #110002457556),205931.12,205931.12,
BlueBeam Revu,Licensed,YES,PO available,12228812,50,26-Feb-24,09/03/24,09/03/25,Bluebeam Tool,104.4,5220,
Beyond Compare,Licensed,YES,PO available,11435674,,,,,,,,
Software Management Solution Plugin,Licensed,NO,,,,,,,,,,
SALTO,Licensed,YES,,,,,,,,,,
SAP BusinessObjects Planning and Consolidation for Office Client,Licensed,NO,,,,,,,,,,
Altiris Inventory Agent,Licensed,NO,,,,,,,,,,
Adobe Creative Cloud,Licensed,YES,PO available,12103128,500,23-Nov-22,30/11/22,29/11/25,Adobe Acrobat Pro DC Creative Cloud and SW,1811655,1811655,
FontAgent ,Licensed,YES,PO available,12243937,300,01-May-24,15/05/24,14/05/25,FontAgent Enterprise Server and Connected Client,14249,14249,
Altiris Deployment Agent,Licensed,NO,,,,,,,,,,
ProSoft Technology,Licensed,NO,,,,,,,,,,
Wavelink TelnetCE ,Licensed,NO,,,,,,,,,,
Advanced Micro Controls,Licensed,NO,,,,,,,,,,
ReconNET,Licensed,YES,PO available,12042342,SaaS,05-May-22,01/05/22,31/07/25,Trintech Cadency Cloud Subscription 5/1/22 - 7/31/25 332996,378596,378596,
CLO Viewer,Licensed,YES,,,,,,,,,,
Profimetrics,Licensed,YES,PO available,12265357,SaaS,05-Aug-25,20/07/24,19/07/25,Profimetrics Renewal Term,90000,90000,
Molex Corporation ,Licensed,NO,,,,,,,,,,
think-cell,Licensed,YES,PO available,12181683,34,11-Sep-23,01/10/23,30/09/24,Think-Cell Presentation Suite,247.2,8404.8,
TIBCO,Licensed,YES,PO available,12071481,,,,,,,,
Corptax Software,Licensed,YES,PO available,12121697,1,07-Feb-23,07/02/23,31/12/23,Corptax Data Archiving Services 2019,6420,6420,not renewed
ZoomText,Licensed,YES,PO available,12198182,1,20-Oct-23,01/11/23,31/10/25,ZoomText Licenses,1040.95,1040.95,
EasyPower,Licensed,YES,PO available,12262177,SaaS,22-Jul-24,21/07/24,20/07/25,Bentley SELECT Renewal | Term: 7/21/2024 – 7/20/2025,1772.95,1772.95,
Efficient Elements,Licensed,YES,PO available,12181683,32,11-Sep-23,01/10/23,30/09/24,Efficient Elements for Presentations,150.39,4812.48,
BMC Remedy,Licensed,YES,PO available,12031733,7850,21-Mar-22,31/03/22,30/03/25,BMC Remedy Helix IT (36 months),655143.5,655143.5,
Four J's Windows Front End,Licensed,YES,PO available,12099258,1,10-Nov-22,30/11/22,29/11/23,BDS Deployment/ RT License Maintenance; Term: 11/30/2022 - 11/29/2023 (Ref # 1459),5686,5686,not renewed
Buerkert GmbH Co. ,Licensed,NO,,,,,,,,,,
Snowflake SnowSQL,Licensed,YES,PO available,12223547,SaaS,01-Feb-24,28/01/24,27/01/25,Snowflake Services Business Critical Edition,265000,265000,
PKZIP for Windows ,Licensed,YES,PO available,12211666,1,07-Dec-23,01/02/24,31/01/25,"PKZIP,WinSrv SecureZIP",10265.56,10265.56,
SolarWinds,Licensed,YES,PO available,12229331,1,26-Feb-24,09/03/24,09/03/25,SolarWinds Maintenance Renewal,105610.83,105610.83,
MR-Win6530,Licensed,NO,PO available,12121288,45,06-Feb-23,01/03/23,28/02/26,MR-Win6530 Secure Secure Terminal Emulation Package for HPEcomForte 21 GmbH - Part#: 15010346Coverage,263.8,11871,
